"","year","state","rep","dem","other"
"262",1980,"mississippi",441089,429281,22250
"263",1980,"missouri",1074181,931182,93857
"264",1980,"montana",206814,118032,39106
"265",1980,"nebraska",419937,166851,54066
"266",1980,"nevada",155017,66666,26202
"267",1980,"new hampshire",221705,108864,53362
"268",1980,"new jersey",1546557,1147364,281763
"269",1980,"new mexico",250779,167826,37632
"270",1980,"new york",2893831,2728372,579470
"271",1980,"north carolina",915018,875635,65180
"272",1980,"north dakota",193695,79189,28661
"273",1980,"ohio",2206545,1752414,324644
"274",1980,"oklahoma",695570,402026,52112
"275",1980,"oregon",571044,456890,153582
"276",1980,"pennsylvania",2261872,1937540,362089
"277",1980,"rhode island",154793,198342,62832
"278",1980,"south carolina",441206,427559,21340
"279",1980,"south dakota",198343,103855,25505
"280",1980,"tennessee",787761,783051,46804
"281",1980,"texas",2510705,1881147,149785
"282",1980,"utah",439687,124266,40269
"283",1980,"vermont",94598,81891,36718
"284",1980,"virginia",989609,752174,124249
"285",1980,"washington",865244,650193,226957
"286",1980,"west virginia",334206,367462,36047
"287",1980,"wisconsin",1088845,981584,201455
"288",1980,"wyoming",110700,49427,16586
"289",1984,"alabama",873067,550899,16984
"290",1984,"arizona",681416,333854,10627
"291",1984,"arkansas",534774,338646,10986
"292",1984,"california",5467009,3922519,115513
"293",1984,"colorado",821817,454975,18566
"294",1984,"connecticut",890877,569597,6200
"295",1984,"delaware",152190,101656,726
"296",1984,"florida",2730350,1448816,885
"297",1984,"georgia",1068722,706628,0
"298",1984,"idaho",297523,108510,5111
"299",1984,"illinois",2707103,2086499,25486
"300",1984,"indiana",1377230,841481,14358
"301",1984,"iowa",703088,605620,11097
"302",1984,"kansas",677296,333149,11546
"303",1984,"kentucky",822782,539589,8090
"304",1984,"louisiana",1037299,651586,17937
"305",1984,"maine",336500,214515,2129
"306",1984,"maryland",879918,787935,8020
"307",1984,"massachusetts",1310936,1239606,8911
"308",1984,"michigan",2251571,1529638,20449
"309",1984,"minnesota",1032603,1036364,14759
"310",1984,"mississippi",582377,352192,6523
"311",1984,"missouri",1274188,848583,0
"312",1984,"montana",232450,146742,5185
"313",1984,"nebraska",460054,187866,4170
"314",1984,"nevada",188770,91655,6242
"315",1984,"new hampshire",267051,120395,1508
"316",1984,"new jersey",1933630,1261323,22909
"317",1984,"new mexico",307101,201769,5500
"318",1984,"new york",3664763,3119609,22438
"319",1984,"north carolina",1346481,824287,4593
"320",1984,"north dakota",200336,104429,4206
"321",1984,"ohio",2678559,1825440,43620
"322",1984,"oklahoma",861530,385080,9066
"323",1984,"oregon",685700,536479,4348
"324",1984,"pennsylvania",2584323,2228131,32449
"325",1984,"rhode island",212080,197106,1303
"326",1984,"south carolina",615539,344470,8531
"327",1984,"south dakota",200267,116113,1487
"328",1984,"tennessee",990212,711714,10068
"329",1984,"texas",3433428,1949276,14867
"330",1984,"utah",469105,155369,5182
"331",1984,"vermont",135865,95730,2851
"332",1984,"virginia",1337078,796250,13307
"333",1984,"washington",1051670,807352,24888
"334",1984,"west virginia",405483,328125,2134
"335",1984,"wisconsin",1199585,995843,16663
"336",1984,"wyoming",133241,53370,2357
"337",1988,"alabama",815576,549506,12888
"338",1988,"arizona",702541,454029,15303
"339",1988,"arkansas",466578,349237,11923
"340",1988,"california",5054917,4702233,129914
"341",1988,"colorado",728177,621453,22764
"342",1988,"connecticut",750241,676584,16562
"343",1988,"delaware",139639,108647,1605
"344",1988,"florida",2618885,1656701,26727
"345",1988,"georgia",1081331,714792,13534
"346",1988,"idaho",253881,147272,7815
"347",1988,"illinois",2310939,2215940,32241
"348",1988,"indiana",1297763,860643,10215
"349",1988,"iowa",545355,670557,9702
"350",1988,"kansas",554049,422636,16359
"351",1988,"kentucky",734281,580368,7868
"352",1988,"louisiana",883702,717460,27040
"353",1988,"maine",307131,243569,4335
"354",1988,"maryland",876167,826304,11887
"355",1988,"massachusetts",1194644,1401406,36755
"356",1988,"michigan",1965486,1675783,27894
"357",1988,"minnesota",962337,1109471,21368
"358",1988,"mississippi",557890,363921,9716
"359",1988,"missouri",1084953,1001619,6662
"360",1988,"montana",190412,168936,6326
"361",1988,"nebraska",398447,259646,4279
"362",1988,"nevada",206040,132738,11289
"363",1988,"new hampshire",281537,163696,5292
"364",1988,"new jersey",1743192,1320352,36009
"365",1988,"new mexico",270341,244497,6449
"366",1988,"new york",3081871,3347882,55930
"367",1988,"north carolina",1237258,890167,6945
"368",1988,"north dakota",166559,127739,2963
"369",1988,"ohio",2416549,1939629,37521
"370",1988,"oklahoma",678367,483423,9246
"371",1988,"oregon",560126,616206,25362
"372",1988,"pennsylvania",2300087,2194944,41220
"373",1988,"rhode island",177761,225123,1685
"374",1988,"south carolina",606443,370554,9012
"375",1988,"south dakota",165415,145560,2016
"376",1988,"tennessee",947233,679794,9224
"377",1988,"texas",3036829,2352748,37833
"378",1988,"utah",428442,207343,11223
"379",1988,"vermont",124331,115775,3227
"380",1988,"virginia",1309162,859799,22648
"381",1988,"washington",903835,933516,27902
"382",1988,"west virginia",310065,341016,2230
"383",1988,"wisconsin",1047499,1126794,15042
"384",1988,"wyoming",106867,67113,2571
"385",1992,"alabama",804283,690080,192974
"386",1992,"arizona",572086,543050,371870
"387",1992,"arkansas",337324,505823,107506
"388",1992,"california",3630574,5121325,2379822
"389",1992,"colorado",562850,629681,376649
"390",1992,"connecticut",578313,682318,355525
"391",1992,"delaware",102313,126054,61253
"392",1992,"florida",2173310,2072698,1068384
"393",1992,"georgia",995252,1008966,316915
"394",1992,"idaho",202645,137013,142456
"395",1992,"illinois",1734096,2453350,862711
"396",1992,"indiana",989375,848420,468076
"397",1992,"iowa",504891,586353,263363
"398",1992,"kansas",449951,390434,316692
