"","cname","litdiff","p_polity2","pei_eir","wbgi_gee","wdi_birth","wdi_empagrf","wdi_empagrm","wdi_empch","wdi_expedu","wdi_fertility","wdi_gdpcapcon2010","wdi_poprul"
"17","Bhutan",17.9362335205078,5,7.2777777,0.57128763,17.4589996337891,65.1949996948242,50.689998626709,NA,7.2257399559021,1.99399995803833,3072.02026367188,59.8330001831055
"18","Bolivia",7.93988800048828,7,6.909091,-0.38316944,22.0760002136231,30.6070003509521,30.3999996185303,13.920000076294,NA,2.77699995040894,2490.95629882812,30.9200000762939
"19","Bosnia and Herzegovina",NA,NA,5.135417,-0.48183131,8.29300022125244,16.94700050354,16.7310009002686,NA,NA,1.27600002288818,5828.71630859375,52.1240005493164
"20","Botswana",NA,8,7.5999999,0.4369733,25.3959999084473,16.7649993896484,25.492000579834,NA,NA,2.91000008583069,7859.1689453125,31.2999992370606
"21","Brazil",-0.352180480957031,8,7.5873184,-0.29100382,14.125,4.26200008392334,13.2840003967285,2.53999996185303,6.32254981994629,1.7389999628067,11021.71875,13.6909999847412
"22","Belize",NA,NA,6.75,-0.63649714,21.0809993743896,5.25,24.6180000305176,NA,7.50989007949829,2.34599995613098,4211.599609375,54.398998260498
"23","Solomon Islands",NA,8,6.625,-1.0063597,32.8769989013672,39.0369987487793,38.640998840332,NA,NA,4.43400001525879,1751.51416015625,76.713996887207
"24","Brunei",1.75235748291016,NA,NA,1.1443354,15.3760004043579,0.441000014543533,2.03200006484985,NA,4.42540979385376,1.88100004196167,31752.740234375,22.6879997253418
"25","Bulgaria",NA,9,6.7390995,0.26019415,9,4.5329999923706,9.17199993133545,NA,4.09250020980835,1.55999994277954,8353.9677734375,25.3309993743896
"26","Myanmar",8.16459655761719,8,6.8125,-1.0521406,17.7029991149902,45.4799995422363,54.0410003662109,NA,2.08768010139465,2.16799998283386,1482.66271972656,69.6780014038086
"27","Burundi",15.0723609924316,-1,1.375,-1.3411065,39.6459999084473,96.0589981079102,87.6149978637695,NA,4.76202011108398,5.5019998550415,214.139251708984,87.2939987182617
"28","Belarus",0.0688018798828125,-7,3.25,-0.33793011,10.8000001907349,7.26300001144409,14.1730003356934,NA,4.79499006271362,1.54100000858307,6375.2890625,21.8659992218018
"29","Cambodia",11.4985733032227,-4,3.1333332,-0.65813839,22.8889999389648,37.5919990539551,33.1150016784668,NA,2.16285991668701,2.52999997138977,1135.84436035156,77.0199966430664
"30","Cameroon",11.0417633056641,-4,4.6111112,-0.81367296,35.9000015258789,49.7140007019043,40.5410003662109,NA,3.15481996536255,4.63899993896484,1481.73193359375,44.2229995727539
"31","Canada",NA,10,9.083333,1.8541601,10.3000001907349,0.962999999523163,2.01999998092651,NA,NA,1.49609994888306,51170.4765625,18.6499996185303
"32","Cape Verde",9.64921569824219,10,8.895834,0.16793048,19.9190006256104,7.92999982833862,17.9869995117188,NA,5.18174982070923,2.30900001525879,3619.62109375,34.7389984130859
"33","Central African Republic",23.7582111358643,6,7,-1.7650363,35.6599998474121,82.0210037231445,74.3690032958984,NA,NA,4.7960000038147,371.108795166016,59.0200004577637
"34","Sri Lanka",2.00981140136719,6,7.5555553,-0.14797747,16.1060009002686,29.4099998474121,24.3899993896484,NA,2.79924988746643,2.20600008964539,3860.150390625,81.6159973144531
"35","Chad",17.3735609054565,-2,2.3333333,-1.469803,42.6829986572266,75.6569976806641,78.109001159668,55.8956184387207,2.45481991767883,5.84600019454956,817.534118652344,77.1419982910156
"36","Chile",0.1466064453125,10,9.0789471,0.84351569,12.7110004425049,5.35099983215332,12.0369997024536,NA,5.4194598197937,1.67799997329712,14741.1923828125,12.5100002288818
"37","China",3.30720520019531,-7,NA,0.42046991,12.4300003051758,24.0410003662109,29.3040008544922,NA,NA,1.68299996852875,7346.83642578125,42.0400009155273
"38","Taiwan",NA,10,9.1428576,1.2636065,NA,NA,NA,NA,NA,NA,NA,NA
"39","Colombia",-0.467086791992188,7,6.8589287,-0.07388176,15.0979995727539,7.73600006103516,22.8840007781982,5.55999994277954,4.53551006317139,1.82500004768372,7620.916015625,19.5540008544922
