"","votereg","age","female","nohighschool","collegeorhigher","nonwhite","married","employed","republican","democrat","independent","partisanship","impeach"
"16219",1,58,1,0,0,0,0,0,0,0,1,"Independent",0
"16220",0,46,0,0,1,1,1,1,1,0,0,"Republican",0
"16221",1,77,0,0,0,0,1,0,1,0,0,"Republican",0
"16222",1,26,1,0,1,0,1,1,0,1,0,"Democrat",1
"16223",1,62,0,0,0,0,1,0,0,0,1,"Independent",0
"16224",0,33,1,0,1,1,1,0,1,0,0,"Republican",0
"16225",1,27,1,0,1,1,0,0,0,0,1,"Independent",1
"16227",1,70,1,0,1,1,1,0,0,0,1,"Independent",0
"16228",1,51,1,0,1,1,0,1,0,1,0,"Democrat",1
"16229",1,39,1,0,0,0,1,1,0,0,1,"Independent",0
"16230",1,63,1,0,0,0,0,0,0,0,1,"Independent",1
"16231",1,24,0,0,1,1,0,1,0,1,0,"Democrat",1
"16232",1,31,1,0,1,0,1,1,0,1,0,"Democrat",0
"16233",1,56,1,0,0,0,1,1,0,1,0,"Democrat",1
"16234",1,67,1,0,1,1,0,0,0,1,0,"Democrat",1
"16235",1,29,1,0,1,0,0,1,1,0,0,"Republican",0
"16236",1,64,1,0,1,1,0,0,0,1,0,"Democrat",1
"16237",1,68,0,0,1,1,0,0,0,0,1,"Independent",1
"16238",1,27,1,0,1,0,0,1,0,1,0,"Democrat",1
"16239",1,23,1,0,1,0,1,1,0,1,0,"Democrat",1
"16240",1,34,1,0,0,0,1,1,1,0,0,"Republican",0
"16241",1,23,1,0,1,1,0,1,0,1,0,"Democrat",0
"16242",1,64,1,0,1,1,0,0,0,1,0,"Democrat",1
"16243",1,46,0,0,1,1,1,1,0,0,1,"Independent",1
"16244",1,56,1,0,0,0,1,0,1,0,0,"Republican",0
"16245",1,26,1,0,1,1,0,1,0,1,0,"Democrat",1
"16246",1,26,1,0,1,1,0,1,0,1,0,"Democrat",1
"16247",1,67,1,1,0,0,1,0,1,0,0,"Republican",0
"16249",1,51,1,0,1,1,0,0,1,0,0,"Republican",0
"16250",1,56,1,0,0,0,0,1,0,0,1,"Independent",1
"16251",1,22,1,0,1,1,0,1,0,1,0,"Democrat",1
"16252",1,24,0,0,1,0,0,1,1,0,0,"Republican",0
"16253",1,70,1,1,0,0,1,0,0,1,0,"Democrat",1
"16254",0,37,1,0,0,0,1,1,0,0,1,"Independent",NA
"16255",0,30,1,1,0,0,0,0,0,0,1,"Independent",0
"16256",1,64,1,0,0,0,1,0,0,0,1,"Independent",1
"16257",1,60,1,0,0,0,0,1,0,1,0,"Democrat",1
"16258",1,55,1,0,0,0,1,1,1,0,0,"Republican",0
"16259",1,71,0,0,0,0,1,0,1,0,0,"Republican",0
"16260",1,57,1,0,1,1,1,0,0,1,0,"Democrat",1
"16261",1,54,0,0,1,1,0,0,0,1,0,"Democrat",0
"16262",1,73,1,0,1,1,0,0,1,0,0,"Republican",0
"16263",1,75,0,0,1,1,1,1,0,0,1,"Independent",0
"16264",1,25,1,0,1,1,0,1,0,0,1,"Independent",0
"16265",1,82,0,0,0,0,1,0,0,0,1,"Independent",0
"16266",1,22,1,0,1,0,0,1,0,1,0,"Democrat",1
"16267",1,81,0,0,1,1,1,0,0,0,1,"Independent",0
"16268",1,30,1,0,1,0,1,1,0,1,0,"Democrat",1
"16269",1,61,0,0,0,0,1,1,1,0,0,"Republican",0
"16270",0,45,1,0,0,0,0,1,0,1,0,"Democrat",1
"16271",1,71,1,0,0,0,1,0,1,0,0,"Republican",0
"16272",1,22,1,0,1,1,0,0,1,0,0,"Republican",1
"16273",1,25,1,0,1,0,1,1,0,1,0,"Democrat",1
"16274",1,29,0,0,1,0,1,0,0,1,0,"Democrat",1
"16275",1,28,0,0,1,0,1,1,0,0,1,"Independent",1
"16276",1,29,0,0,1,0,1,1,0,1,0,"Democrat",0
"16277",0,54,1,0,0,0,1,0,0,0,1,"Independent",0
"16278",1,65,0,0,1,1,0,0,0,1,0,"Democrat",0
"16280",1,25,0,0,1,0,0,0,0,1,0,"Democrat",1
"16281",1,31,1,0,1,1,0,1,0,1,0,"Democrat",1
"16282",1,24,0,0,1,1,0,1,0,0,1,"Independent",1
"16284",1,29,0,0,1,0,0,1,0,0,1,"Independent",0
"16286",1,28,1,0,1,1,0,1,0,1,0,"Democrat",1
"16288",1,27,1,0,1,0,0,1,0,0,1,"Independent",0
"16289",1,56,1,0,0,0,1,0,0,1,0,"Democrat",1
"16290",1,73,0,0,0,0,1,0,1,0,0,"Republican",0
"16291",1,29,1,0,1,0,1,1,0,1,0,"Democrat",1
"16292",1,59,0,0,1,1,1,0,1,0,0,"Republican",0
"16293",1,83,0,1,0,0,1,0,0,0,1,"Independent",0
"16294",1,30,1,0,1,0,0,1,0,0,1,"Independent",0
"16295",1,29,1,0,1,1,1,1,0,1,0,"Democrat",0
"16296",1,22,1,0,1,1,1,1,0,1,0,"Democrat",1
"16298",1,68,1,0,1,1,0,1,0,1,0,"Democrat",1
"16299",0,26,1,0,1,1,1,0,0,1,0,"Democrat",1
"16300",1,19,0,0,1,1,0,1,0,1,0,"Democrat",1
"16301",1,49,1,0,0,0,1,1,1,0,0,"Republican",0
"16302",1,56,1,0,1,1,0,0,0,1,0,"Democrat",1
"16303",1,71,1,0,1,1,0,0,0,1,0,"Democrat",0
"16304",0,65,1,0,0,0,0,0,0,0,1,"Independent",0
"16305",1,61,1,0,1,1,0,0,0,1,0,"Democrat",1
"16306",1,27,1,0,1,1,0,1,0,1,0,"Democrat",1
"16307",1,61,1,0,0,0,1,0,1,0,0,"Republican",0
"16308",1,62,1,0,1,1,1,0,1,0,0,"Republican",0
"16309",1,35,1,0,1,1,0,1,0,1,0,"Democrat",0
"16310",1,64,1,0,0,0,0,1,0,1,0,"Democrat",1
"16311",1,25,0,0,1,0,0,1,0,1,0,"Democrat",1
"16312",1,73,1,1,0,0,0,0,1,0,0,"Republican",0
"16313",1,25,1,0,1,0,0,1,0,1,0,"Democrat",1
"16314",1,68,0,0,1,1,1,0,1,0,0,"Republican",0
"16317",1,52,1,1,0,0,1,0,1,0,0,"Republican",1
"16318",1,69,0,0,0,0,1,1,0,0,1,"Independent",0
"16319",1,29,1,0,1,0,1,1,0,1,0,"Democrat",1
"16320",1,66,1,0,1,1,0,1,0,1,0,"Democrat",1
"16321",1,50,1,0,0,0,1,1,0,0,1,"Independent",0
"16322",1,33,1,0,1,1,0,1,0,0,1,"Independent",1
"16323",1,25,0,0,1,0,0,1,0,0,1,"Independent",1
"16324",1,77,1,1,0,0,0,0,1,0,0,"Republican",0
"16325",1,22,0,0,1,0,1,1,1,0,0,"Republican",0
"16326",1,35,1,0,1,1,0,0,0,0,1,"Independent",0
"16327",1,65,1,0,1,1,1,1,0,1,0,"Democrat",1
"16328",1,52,1,0,0,0,1,1,1,0,0,"Republican",0
"16329",1,28,1,0,1,1,0,1,0,0,1,"Independent",0
"16330",1,56,1,0,0,0,1,0,1,0,0,"Republican",0
"16331",1,30,1,0,1,1,0,1,0,1,0,"Democrat",1
"16333",0,54,1,0,0,0,1,1,0,0,1,"Independent",1
"16334",1,51,1,0,0,1,0,0,0,1,0,"Democrat",1
"16335",1,53,0,1,0,0,0,0,0,0,1,"Independent",0
"16336",1,35,1,0,1,1,0,1,0,0,1,"Independent",1
"16337",1,65,1,0,0,0,1,0,0,1,0,"Democrat",1
"16338",0,72,1,1,0,0,0,0,0,1,0,"Democrat",1
"16339",0,51,0,0,0,0,0,1,0,0,1,"Independent",0
"16340",1,39,1,1,0,0,1,0,1,0,0,"Republican",1
"16341",0,73,0,0,0,0,1,0,0,0,1,"Independent",0
"16343",1,50,1,0,0,0,0,1,0,1,0,"Democrat",0
"16344",1,71,0,0,1,1,1,0,0,0,1,"Independent",0
"16345",1,69,1,0,0,0,0,0,0,1,0,"Democrat",1
"16346",1,29,0,0,1,0,0,1,1,0,0,"Republican",0
"16347",1,46,0,0,1,1,0,1,0,1,0,"Democrat",1
"16348",1,59,0,0,1,1,0,1,0,1,0,"Democrat",1
"16349",1,68,0,0,1,1,1,0,0,1,0,"Democrat",0
"16351",1,57,1,0,0,0,0,0,1,0,0,"Republican",0
"16352",0,29,1,0,1,1,1,1,0,0,1,"Independent",NA
"16353",1,69,1,0,1,1,0,0,0,1,0,"Democrat",1
"16354",1,56,1,0,1,1,0,1,0,1,0,"Democrat",1
"16355",1,59,0,0,0,0,1,0,1,0,0,"Republican",0
"16356",1,63,1,0,1,1,1,1,0,0,1,"Independent",0
"16357",1,36,1,0,1,1,1,1,1,0,0,"Republican",0
"16358",1,76,1,0,1,1,0,0,1,0,0,"Republican",0
"16359",1,62,1,0,0,0,1,0,1,0,0,"Republican",0
"16360",1,63,1,0,1,1,1,0,1,0,0,"Republican",0
"16361",1,58,1,0,1,1,1,0,1,0,0,"Republican",0
"16362",1,66,1,0,1,1,1,1,1,0,0,"Republican",0
"16363",1,66,0,0,0,0,1,0,0,1,0,"Democrat",0
"16364",1,60,0,0,0,0,1,1,1,0,0,"Republican",0
"16365",1,63,0,0,0,0,1,1,1,0,0,"Republican",0
"16366",0,72,1,0,1,1,0,0,0,1,0,"Democrat",1
"16367",1,40,1,0,0,0,1,1,0,0,1,"Independent",0
"16368",1,47,1,0,1,1,0,1,0,0,1,"Independent",1
"16370",1,42,1,1,0,0,1,1,0,1,0,"Democrat",1
"16371",1,74,1,0,1,1,0,0,0,1,0,"Democrat",1
"16372",1,70,0,0,0,0,1,0,1,0,0,"Republican",0
"16373",1,45,1,0,0,0,0,1,1,0,0,"Republican",0
"16374",1,56,1,0,1,1,1,1,0,1,0,"Democrat",1
"16375",0,55,0,0,0,0,0,0,1,0,0,"Republican",0
"16376",1,84,0,0,0,0,1,0,1,0,0,"Republican",0
"16377",1,25,0,0,1,0,1,1,0,0,1,"Independent",0
"16378",1,65,0,0,1,1,1,0,0,0,1,"Independent",1
"16379",1,38,1,0,0,0,0,1,0,1,0,"Democrat",1
"16380",1,48,0,0,0,0,1,1,1,0,0,"Republican",0
"16381",1,24,0,0,1,0,0,1,1,0,0,"Republican",0
"16382",1,29,1,0,1,0,1,1,0,0,1,"Independent",0
"16383",1,49,1,0,0,0,1,0,1,0,0,"Republican",0
"16384",1,74,0,1,0,0,1,0,1,0,0,"Republican",0
"16386",0,36,1,0,0,0,1,1,0,0,1,"Independent",0
"16388",1,25,0,0,1,0,1,1,0,1,0,"Democrat",0
"16389",1,56,1,0,0,0,0,0,1,0,0,"Republican",0
